claim_id,claim,pitch_reference,short_report_reference,full_report_reference,evidence_ids,current_claim_status
CL-01,C1 produces object-aware temporal TTC,"7; evidence appendix",§1/O-01,§9,"E-01; E-13",EVIDENCE_PENDING_FREEZE
CL-02,"C2 uses 468 landmarks, 59 features and RF","7; appendix",§1/O-01,§10,"E-01; E-08; E-27",PARTIAL_PACKAGE
CL-03,"C3 is rule-based, not Decision Engine","7; appendix",§1/§2,§11,E-07,IMPLEMENTED_PROOF_PENDING
CL-04,C3 score remains authoritative downstream,9-10,§2/§10,§5/§12-14,"E-03; E-04",CAPTURE_PENDING
CL-05,Alert layer has state and lifecycle,8,§2/§10,§12,"E-04; E-05",IMPLEMENTED_PROOF_PENDING
CL-06,Orchestration reduces duplicate and noisy alerts,4/16,§3/§10,§17/§20,E-06,NOT_MEASURED
CL-07,Backend validates deduplicates and broadcasts,9,§2/§5,§13,"E-03; E-14; E-15",IMPLEMENTED_PROOF_PENDING
CL-08,Backend has restart-durable persistence,REMOVED,EXPLICITLY_EXCLUDED,TARGET_§29,"E-14; E-41",NOT_IMPLEMENTED
CL-09,Dashboard supports traceable fleet review,11,O-03,§13/§17,"E-22; E-23",VISUAL_PROOF_PENDING
CL-10,Copilot is grounded and does not score,12,§2/§8,§14,"E-19; E-20",PROVIDER_VALIDATION_PENDING
CL-11,Reports preserve canonical data,11-12,O-03,§15,E-21,EVIDENCE_PENDING
CL-12,CarSky KUKSA HMI demo path exists,13,§6/O-04,§16,E-24,PARTIAL_EVIDENCE
CL-13,Android HMI uses VHAL demo transport,13,§6/§8,§16,E-24,CORRELATION_PENDING
CL-14,Bluetooth speaker works,REMOVED_UNLESS_SHOWN,NOT_CLAIMED,OPTIONAL_§16,E-25,NOT_EVIDENCED
CL-15,Operator intervention workflow exists,APPENDIX_ONLY,DISCLOSURE,§13/§17,E-17,PROTOTYPE
CL-16,Vehicle actuation exists,REMOVED,EXPLICITLY_EXCLUDED,EXPLICITLY_EXCLUDED,,UNSUPPORTED
CL-17,CARLA collector supports scenario-rich generation,APPENDIX,§1/§3,§8,"E-12; E-38",COVERAGE_PENDING
CL-18,Full CARLA dataset size and coverage is known,EVIDENCE_SLIDE_AFTER_RUN,§1/§3,§8,E-11,FULL_DATASET_RUN_PENDING
CL-19,CARLA sample structure is valid,APPENDIX,§3,§8,E-11,SAMPLE_ONLY
CL-20,Jetson sustained near-real-time performance,STATUS_SLIDE_AFTER_RUN,§2/§8,§19,"E-09; E-10",NOT_EVIDENCED
CL-21,TensorRT or INT8 deployed,ROADMAP_ONLY,ROADMAP_ONLY,TARGET_§19/§30,,PLANNED
CL-22,Clean package is reproducible,STATUS,FRONT_MATTER/§5,§19/APPENDIX,"E-18; E-26",PENDING
CL-23,Business buyer is fleet safety owner,15-16,§7,§3/§21/§25,E-31,HYPOTHESIS
CL-24,Pricing model is viable,"16; proposed","§7; proposed",§24-26,"E-30; E-31",ASSUMPTION
CL-25,Product improves review time or ROI,PILOT_GATE,§7,§20/§26,"E-32; E-33; E-40",NOT_VALIDATED
CL-26,Solution is production-ready,REMOVED,EXPLICITLY_EXCLUDED,SCOPE_LIMITATION,"E-09; E-14; E-34; E-41",UNSUPPORTED_TODAY
CL-27,Safety and privacy gates exist,16,§7/§8,§28,E-34,PLANNING_EVIDENCE_PENDING
CL-28,All test pass counts are traceable,APPENDIX,§5,§18,E-15,PENDING_STORED_OUTPUT

