official_order,scenario,scenario_group,is_baseline,active_in_collector,recorded_trip_count,recorded_trip_pct,observed_event_count,trip_ids,maps,weather_modes,time_of_day_modes,retained_frames,duration_sec,coverage_status,interpretation,source_files
0,none,baseline,true,true,48,0.96,0,T14-Sample;T15-Sample;T16-Sample;T17-Sample;T18-Sample;T19-Sample;T20-Sample;T21-Sample;T23-Sample;T24-Sample;T25-Sample;T26-Sample;T27-Sample;T28-Sample;T29-Sample;T30-Sample;T31-Sample;T32-Sample;T33-Sample;T34-Sample;T35-Sample;T36-Sample;T37-Sample;T38-Sample;T39-Sample;T40-Sample;T41-Sample;T42-Sample;T43-Sample;T44-Sample;T45-Sample;T46-Sample;T48-Sample;T49-Sample;T50-Sample;T51-Sample;T52-Sample;T53-Sample;T54-Sample;T55-Sample;T56-Sample;T57-Sample;T58-Sample;T59-Sample;T60-Sample;T61-Sample;T62-Sample;T63-Sample,Town10HD,clear_day;dawn;dusk;dust;fog;night;overcast;rain;storm,day;night;twilight,21743,1087.15,baseline_or_downgraded,Includes true baseline trips and scenarios downgraded to none when event evidence was insufficient; planned scenario requires runner logs.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
1,lead_brake,lead_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
2,stopped_vehicle,lead_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
3,slow_lead,lead_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
4,lead_brake_release,lead_vehicle,false,true,1,0.02,1,T47-Sample,Town10HD,fog,day,401,20.05,observed_and_retained,Scenario evidence passed validation and remained in retained trip metadata.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
5,lead_stop_and_go,lead_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
6,lead_accelerate,lead_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
7,lead_lane_change,lead_vehicle,false,true,1,0.02,1,T22-Sample,Town10HD,dust,night,506,25.3,observed_and_retained,Scenario evidence passed validation and remained in retained trip metadata.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
8,lead_lane_change_brake,lead_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
9,hard_brake_chain,lead_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
10,vehicle_cut_in,adjacent_vehicle,false,true,0,0,0,,,,,0,0,not_recorded,Scenario is active in the collector but is absent from retained post-validation metadata for these 50 trips.,script_carla.zip:script_carla/collect.py;dataset_summary.csv
