trip_id,frame_file,baseline_m_computed
T01-Sample,000000.txt,0.3
T01-Sample,000001.txt,0.3
T01-Sample,000002.txt,0.3
T01-Sample,000003.txt,0.3
T01-Sample,000004.txt,0.3
T01-Sample,000005.txt,0.3
T01-Sample,000006.txt,0.3
T01-Sample,000007.txt,0.3
T01-Sample,000008.txt,0.3
T01-Sample,000009.txt,0.3
T01-Sample,000010.txt,0.3
T01-Sample,000011.txt,0.3
T01-Sample,000012.txt,0.3
T01-Sample,000013.txt,0.3
T01-Sample,000014.txt,0.3
T01-Sample,000015.txt,0.3
T01-Sample,000016.txt,0.3
T01-Sample,000017.txt,0.3
T01-Sample,000018.txt,0.3
T01-Sample,000019.txt,0.3
T01-Sample,000020.txt,0.3
T01-Sample,000021.txt,0.3
T01-Sample,000022.txt,0.3
T01-Sample,000023.txt,0.3
T01-Sample,000024.txt,0.3
T01-Sample,000025.txt,0.3
T01-Sample,000026.txt,0.3
T01-Sample,000027.txt,0.3
T01-Sample,000028.txt,0.3
T01-Sample,000029.txt,0.3
T01-Sample,000030.txt,0.3
T01-Sample,000031.txt,0.3
T01-Sample,000032.txt,0.3
T01-Sample,000033.txt,0.3
T01-Sample,000034.txt,0.3
T01-Sample,000035.txt,0.3
T01-Sample,000036.txt,0.3
T01-Sample,000037.txt,0.3
T01-Sample,000038.txt,0.3
T01-Sample,000039.txt,0.3
T01-Sample,000040.txt,0.3
T01-Sample,000041.txt,0.3
T01-Sample,000042.txt,0.3
T01-Sample,000043.txt,0.3
T01-Sample,000044.txt,0.3
T01-Sample,000045.txt,0.3
T01-Sample,000046.txt,0.3
T01-Sample,000047.txt,0.3
T01-Sample,000048.txt,0.3
T01-Sample,000049.txt,0.3
T01-Sample,000050.txt,0.3
T01-Sample,000051.txt,0.3
T01-Sample,000052.txt,0.3
T01-Sample,000053.txt,0.3
T01-Sample,000054.txt,0.3
T01-Sample,000055.txt,0.3
T01-Sample,000056.txt,0.3
T01-Sample,000057.txt,0.3
T01-Sample,000058.txt,0.3
T01-Sample,000059.txt,0.3
T01-Sample,000060.txt,0.3
T01-Sample,000061.txt,0.3
T01-Sample,000062.txt,0.3
T01-Sample,000063.txt,0.3
T01-Sample,000064.txt,0.3
T01-Sample,000065.txt,0.3
T01-Sample,000066.txt,0.3
T01-Sample,000067.txt,0.3
T01-Sample,000068.txt,0.3
T01-Sample,000069.txt,0.3
T01-Sample,000070.txt,0.3
T01-Sample,000071.txt,0.3
T01-Sample,000072.txt,0.3
T01-Sample,000073.txt,0.3
T01-Sample,000074.txt,0.3
T01-Sample,000075.txt,0.3
T01-Sample,000076.txt,0.3
T01-Sample,000077.txt,0.3
T01-Sample,000078.txt,0.3
T01-Sample,000079.txt,0.3
T01-Sample,000080.txt,0.3
T01-Sample,000081.txt,0.3
T01-Sample,000082.txt,0.3
T01-Sample,000083.txt,0.3
T01-Sample,000084.txt,0.3
T01-Sample,000085.txt,0.3
T01-Sample,000086.txt,0.3
T01-Sample,000087.txt,0.3
T01-Sample,000088.txt,0.3
T01-Sample,000089.txt,0.3
T01-Sample,000090.txt,0.3
T01-Sample,000091.txt,0.3
T01-Sample,000092.txt,0.3
T01-Sample,000093.txt,0.3
T01-Sample,000094.txt,0.3
T01-Sample,000095.txt,0.3
T01-Sample,000096.txt,0.3
T01-Sample,000097.txt,0.3
T01-Sample,000098.txt,0.3
T01-Sample,000099.txt,0.3
T01-Sample,000100.txt,0.3
T01-Sample,000101.txt,0.3
T01-Sample,000102.txt,0.3
T01-Sample,000103.txt,0.3
T01-Sample,000104.txt,0.3
T01-Sample,000105.txt,0.3
T01-Sample,000106.txt,0.3
T01-Sample,000107.txt,0.3
T01-Sample,000108.txt,0.3
T01-Sample,000109.txt,0.3
T01-Sample,000110.txt,0.3
T01-Sample,000111.txt,0.3
T01-Sample,000112.txt,0.3
T01-Sample,000113.txt,0.3
T01-Sample,000114.txt,0.3
T01-Sample,000115.txt,0.3
T01-Sample,000116.txt,0.3
T01-Sample,000117.txt,0.3
T01-Sample,000118.txt,0.3
T01-Sample,000119.txt,0.3
T01-Sample,000120.txt,0.3
T01-Sample,000121.txt,0.3
T01-Sample,000122.txt,0.3
T01-Sample,000123.txt,0.3
T01-Sample,000124.txt,0.3
T01-Sample,000125.txt,0.3
T01-Sample,000126.txt,0.3
T01-Sample,000127.txt,0.3
T01-Sample,000128.txt,0.3
T01-Sample,000129.txt,0.3
T01-Sample,000130.txt,0.3
T01-Sample,000131.txt,0.3
T01-Sample,000132.txt,0.3
T01-Sample,000133.txt,0.3
T01-Sample,000134.txt,0.3
T01-Sample,000135.txt,0.3
T01-Sample,000136.txt,0.3
T01-Sample,000137.txt,0.3
T01-Sample,000138.txt,0.3
T01-Sample,000139.txt,0.3
T01-Sample,000140.txt,0.3
T01-Sample,000141.txt,0.3
T01-Sample,000142.txt,0.3
T01-Sample,000143.txt,0.3
T01-Sample,000144.txt,0.3
T01-Sample,000145.txt,0.3
T01-Sample,000146.txt,0.3
T01-Sample,000147.txt,0.3
T01-Sample,000148.txt,0.3
T01-Sample,000149.txt,0.3
T01-Sample,000150.txt,0.3
T01-Sample,000151.txt,0.3
T01-Sample,000152.txt,0.3
T01-Sample,000153.txt,0.3
T01-Sample,000154.txt,0.3
T01-Sample,000155.txt,0.3
T01-Sample,000156.txt,0.3
T01-Sample,000157.txt,0.3
T01-Sample,000158.txt,0.3
T01-Sample,000159.txt,0.3
T01-Sample,000160.txt,0.3
T01-Sample,000161.txt,0.3
T01-Sample,000162.txt,0.3
T01-Sample,000163.txt,0.3
T01-Sample,000164.txt,0.3
T01-Sample,000165.txt,0.3
T01-Sample,000166.txt,0.3
T01-Sample,000167.txt,0.3
T01-Sample,000168.txt,0.3
T01-Sample,000169.txt,0.3
T01-Sample,000170.txt,0.3
T01-Sample,000171.txt,0.3
T01-Sample,000172.txt,0.3
T01-Sample,000173.txt,0.3
T01-Sample,000174.txt,0.3
T01-Sample,000175.txt,0.3
T01-Sample,000176.txt,0.3
T01-Sample,000177.txt,0.3
T01-Sample,000178.txt,0.3
T01-Sample,000179.txt,0.3
T01-Sample,000180.txt,0.3
T01-Sample,000181.txt,0.3
T01-Sample,000182.txt,0.3
T01-Sample,000183.txt,0.3
T01-Sample,000184.txt,0.3
T01-Sample,000185.txt,0.3
T01-Sample,000186.txt,0.3
T01-Sample,000187.txt,0.3
T01-Sample,000188.txt,0.3
T01-Sample,000189.txt,0.3
T01-Sample,000190.txt,0.3
T01-Sample,000191.txt,0.3
T01-Sample,000192.txt,0.3
T01-Sample,000193.txt,0.3
T01-Sample,000194.txt,0.3
T01-Sample,000195.txt,0.3
T01-Sample,000196.txt,0.3
T01-Sample,000197.txt,0.3
T01-Sample,000198.txt,0.3
T01-Sample,000199.txt,0.3
T01-Sample,000200.txt,0.3
T01-Sample,000201.txt,0.3
T01-Sample,000202.txt,0.3
T01-Sample,000203.txt,0.3
T01-Sample,000204.txt,0.3
T01-Sample,000205.txt,0.3
T01-Sample,000206.txt,0.3
T01-Sample,000207.txt,0.3
T01-Sample,000208.txt,0.3
T01-Sample,000209.txt,0.3
T01-Sample,000210.txt,0.3
T01-Sample,000211.txt,0.3
T01-Sample,000212.txt,0.3
T01-Sample,000213.txt,0.3
T01-Sample,000214.txt,0.3
T01-Sample,000215.txt,0.3
T01-Sample,000216.txt,0.3
T01-Sample,000217.txt,0.3
T01-Sample,000218.txt,0.3
T01-Sample,000219.txt,0.3
T01-Sample,000220.txt,0.3
T01-Sample,000221.txt,0.3
T01-Sample,000222.txt,0.3
T01-Sample,000223.txt,0.3
T01-Sample,000224.txt,0.3
T01-Sample,000225.txt,0.3
T01-Sample,000226.txt,0.3
T01-Sample,000227.txt,0.3
T01-Sample,000228.txt,0.3
T01-Sample,000229.txt,0.3
