Evidence,Priority,Ten hang muc,Trang thai tong,Chi tiet trang thai,File bao cao chinh,Phu thuoc con lai,Ngay cap nhat
E-01,P0,Bo danh gia tai lap C1/C2/C3,PARTIAL,Source report co - evaluation da chay - evaluation_bundle.zip chua dong vi owner chua chot dataset final,evidence/E-01/reports/source_report.md,Owner chot dataset bundle + dong zip,8/10/2026
E-02,P0,Kien truc AS-IS khop source code,PARTIAL,7/9 arrow SOURCE_VERIFIED - 2 arrow CarSky/HMI bridge con PENDING runtime screenshot - owner sign-off pending,evidence/E-02/reports/source_report.md,Runtime screenshot/video qua E-04 hoac E-24 + owner sign-off,8/10/2026
E-03,P0,Schema va payload cua DecisionEvent,DONE,SOURCE + SCHEMA + API TRACE + TEST da verify day du,evidence/E-03/reports/source_report.md,Khong con phu thuoc,8/10/2026
E-04,P0,Event duoc truy vet end-to-end,PARTIAL,Test va runtime command trace da tao - chua co video/screenshot dong bo cung event,evidence/E-04/reports/source_report.md,MP4 60-90s + screenshot dong bo tren Signal Watch + HMI Bridge log + Android UI,8/10/2026
E-05,P0,Orchestrator co state policy lifecycle,PARTIAL,Policy config + schema + lifecycle source co trong repo - chua co full runtime replay / test-suite pass co log,evidence/E-05/reports/source_report.md,Full pytest run co log + SE policy approval,8/10/2026
E-06,P0,So sanh frame alert va orchestrated event,PARTIAL,Label inventory da tong hop - episode-level labels thieu nen khong the lam ablation CSV,evidence/E-06/reports/source_report.md,Episode-level labels duoc owner approved + ablation.csv,8/10/2026
E-07,P0,Cong thuc va threshold chinh xac cua C3,PARTIAL,Formula/threshold da verify tu source - chua co BTC document - khong co ML training artifact (C3 formula-based),evidence/E-07/reports/source_report.md,BTC document xac nhan formula,8/10/2026
E-08,P0,Model dependency va provenance cua C2,PARTIAL,C2 model + config tracked trong repo - runtime binaries gitignored - chua co license review chinh thuc,evidence/E-08/reports/source_report.md,License screenshot/PDF + legal review cho Face Landmark binary,8/10/2026
E-09,P0 neu claim edge,Benchmark hieu nang tren Jetson,PARTIAL,Co README + tegrastats/nvpmodel logs - chua co source_report.md chuan - benchmark chua duoc chuan hoa,evidence/E-09/E-09_README.md,source_report.md chuan + benchmark day du co so sanh,8/10/2026
E-10,P0 neu claim trien khai,Soak test nhiet do dien nang Jetson,NOT EXECUTED,status.md: NOT EXECUTED - khong tiep tuc trong scope hien tai,evidence/E-10/status.md,Quyet dinh co chay soak test hay khong (co the la out of scope),8/10/2026
E-11,P0,Manifest va validation CARLA dataset,PARTIAL,dataset_manifest.json + validation_report.json ton tai - chua co source_report.md chuan,evidence/E-11/derived/,source_report.md chuan + owner review validation report,8/10/2026
E-12,P0,Kha nang tai lap CARLA collection,PARTIAL,carla_server.log + checksums.sha256 co - chua co source_report.md chuan - tai lap chua xac nhan doc lap,evidence/E-12/,source_report.md chuan + doc lap replay confirmation,8/10/2026
E-13,P0,Danh gia critical case cua C1,PARTIAL,Metrics da tong hop tu E-01 - c1_cases.pdf chua tao - bin/case definition chua finalize,evidence/E-13/reports/source_report.md,Tam review bin/case definition + render PDF cases,8/10/2026
E-14,P0,Contract dedup WebSocket restart backend,DONE,CONTRACT + DEDUP + WEBSOCKET + RESTART LIMIT da verify day du,evidence/E-14/reports/source_report.md,Khong con phu thuoc,8/10/2026
E-15,P0,Log JUnit coverage automated tests,DONE,BE TESTS + FE LINT-BUILD + HMI ARTIFACT da verify,evidence/E-15/reports/source_report.md,Khong con phu thuoc,8/10/2026
E-16,P0,Failure handling va recovery,PARTIAL,API + CarSky + fallback sources verified + UI screenshot - chua co full runtime failure matrix,evidence/E-16/reports/source_report.md,Full runtime failure matrix,8/10/2026
E-17,P0 neu trinh dien,Workflow can thiep cua con nguoi,DONE,Human intervention workflow verified - khong co backend vehicle actuator API (da ghi nhan dung),evidence/E-17/reports/source_report.md,Khong con phu thuoc,8/10/2026
E-18,P0,Release packet commit checksum,PARTIAL,Release manifest tao - worktree chua clean nen packet khong immutable,evidence/E-18/reports/source_report.md,Git worktree sach + commit chot + immutable packet,8/10/2026
E-19,P1,Copilot grounded khong tao claim sai,PARTIAL,Source contract + golden set tao - raw Bedrock factual review con pending,evidence/E-19/reports/source_report.md,Raw Bedrock factual review hoan chinh,8/10/2026
E-20,P1,Latency cost failure behavior Copilot,PARTIAL,Offline failure + cost-budget evidence co - real Bedrock latency con pending,evidence/E-20/reports/source_report.md,Real Bedrock latency measurement,8/10/2026
E-21,P1,Do chinh xac kha nang doc report export,PARTIAL,Source export verified + temp screenshots - canonical KPI audit con pending,evidence/E-21/reports/source_report.md,Canonical KPI audit,8/10/2026
E-22,P1,Workflow Dashboard tu trip den action,PARTIAL,Source workflow verified + temp UI screenshots - canonical video con thieu,evidence/E-22/reports/source_report.md,Canonical video capture,8/10/2026
E-23,P1,Cac trang thai loi Dashboard,PARTIAL,Source failure states verified + empty state screenshot - full runtime failure matrix con thieu,evidence/E-23/reports/source_report.md,Full runtime failure matrix,8/10/2026
E-24,P1/P0 neu tinh diem platform,Trace CarSky KUKSA VHAL APK,PARTIAL,Runtime command + source-APK path verified - same-event media capture con pending,evidence/E-24/reports/source_report.md,Same-event video/screenshot dong bo,8/10/2026
E-25,P1 neu claim audio,Duong truyen canh bao am thanh,NOT EXECUTED,Audio/TTS dang thu nghiem demo - chua co evidence cho tinh nang hien tai,evidence/E-25/status.md,Quyet dinh co trien khai Audio/TTS chinh thuc khong,8/10/2026
E-26,P1/P0 khi release,Clean-room build va run,PARTIAL,Clean source archive + static compile check tao - full clean-room build chua chay,evidence/E-26/reports/source_report.md,Full clean-room build execution,8/10/2026
E-27,P1,Danh gia kha nang generalize C2,PARTIAL,Metrics/CM da copy tu local artifacts - subject-disjoint generalization khong claim - Kaggle license chua review,evidence/E-27/reports/source_report.md,Kaggle license review + subject-disjoint test,8/10/2026
E-28,P1,Nguon so lieu thi truong,PARTIAL,da tim va xac minh nguon cho claim quy mo thi truong logistics VN; phat hien sai lech can sua trong bao cao chinh.,evidence/E-28/reports/source_report.md,Xac nhan lai so lieu muc 27 bao cao chinh va luu snapshot nguon,8/10/2026
E-29,P1,Ma tran canh tranh,PARTIAL,da co snapshot/nguon cho 5 doi thu (M1-M5); pricing dua tren uoc luong cua ben thu ba (third-party estimate) - khong phai gia niem yet chinh thuc cua vendor.,evidence/E-29/reports/source_report.md,Tim gia Netradyne/Seeing Machines va luu snapshot nguon,8/10/2026
E-30,P1,Pricing BOM va unit economics,PARTIAL,BOM co nguon Jetson chinh thuc () - camera chi co khoang gia thi truong chua co quote dam phan,evidence/E-30/reports/source_report.md,Xin quote that tu nha cung cap camera,8/10/2026
E-31,P1,Customer interview va buyer hypothesis,PARTIAL,Hypothesis/persona COMPLETE - Interview that NOT STARTED,evidence/E-31/reports/source_report.md,Phong van 5-8 fleet manager thuc te,8/10/2026
